date,ticker,open,high,low,close,volume,rsi,macd,signal_line
18-01-2018,HDFCBANK,909.9449342557068,924.1332648314196,907.1309384511763,914.8162841796876,8324770,75.09437576448228,6.006975939940389,2.9889840543317057
19-01-2018,HDFCBANK,915.2182549948584,926.9236274597048,907.6984284103434,923.2819213867188,5727994,77.61449256753997,8.112211351068368,4.013629513679039
22-01-2018,HDFCBANK,926.970945791728,940.2133878744668,923.731288471551,928.5552978515624,4424884,76.73328136800247,10.08983366922098,5.228870344787428
23-01-2018,HDFCBANK,929.3357606013118,930.1397430009554,919.0728900530544,922.8564453,2523898,80.34469508109267,11.06965968552106,6.3970282129341545
24-01-2018,HDFCBANK,923.4476142394752,931.2275265511422,922.52533801707,925.859619140625,2395284,80.23525955352747,11.950749095572178,7.50777238946176
25-01-2018,HDFCBANK,924.0859987093156,936.4298349876598,922.477976335066,934.0414428710938,4361834,81.76908399897796,13.157551533848164,8.63772821833904
26-01-2018,HDFCBANK,924.0859987093156,936.4298349876598,922.477976335066,934.0414428710938,4361834,83.19309094914047,13.95310841245373,9.70080425716198
29-01-2018,HDFCBANK,935.4840693253636,949.1757872874648,935.4840693253636,945.7233276367188,4117946,85.0658549965116,15.349286422152318,10.830500690160047
30-01-2018,HDFCBANK,944.8482931997509,946.7873535861022,938.392590950005,943.760498046875,3198780,83.24049104368682,16.111658440565066,11.886732240241052
31-01-2018,HDFCBANK,940.8755748245878,952.2735230021324,939.740496749559,948.5845336914062,3471674,83.3960097287059,16.91017316805255,12.891420425803354
01-02-2018,HDFCBANK,948.72633683436,952.9828358530584,938.9364121843386,941.703125,3260710,80.44999197513485,16.794137310580936,13.67196380275887
02-02-2018,HDFCBANK,939.2674785512183,941.1119730616336,918.2214549885148,921.2955932617188,3673062,61.55966331469723,14.88388859628219,13.914348761463534
05-02-2018,HDFCBANK,907.1072618458466,915.2655518702684,901.3609764560651,905.1445313,3963392,52.74988641114658,11.929234216950476,13.517325852560925
06-02-2018,HDFCBANK,879.6764963041039,904.2696026523906,868.4677382345053,897.0808715820312,5374902,51.22807158774108,8.835133470833284,12.580887376215395
07-02-2018,HDFCBANK,901.90483655367,901.90483655367,880.811530999851,885.7301635742188,4182486,37.008859274977645,5.404825598228399,11.145675020617997
08-02-2018,HDFCBANK,891.0272202623679,897.9321967285231,882.7506935348778,889.584716796875,2585722,34.302773552450105,2.9631547232286266,9.509170961140123
09-02-2018,HDFCBANK,873.9539328614026,881.899363819676,872.156721121304,874.7106323242188,3204476,26.976788127396773,-0.170140077,7.573308753585055
12-02-2018,HDFCBANK,879.6765509154476,891.9731048529754,877.3827822082102,887.5510864257812,2190554,35.77282684033152,-1.598752028,5.738896597334589
13-02-2018,HDFCBANK,879.6765509154476,891.9731048529754,877.3827822082102,887.5510864257812,2190554,34.179707684265125,-2.699815499,4.051154178076014
14-02-2018,HDFCBANK,893.7703358967417,897.6011739288859,886.6052168050171,890.625244140625,1788594,31.28069419203124,-3.286472982,2.583628746034625
15-02-2018,HDFCBANK,893.7229279254826,896.111320020238,886.7706689737149,890.0339965820312,2457612,31.12202044321561,-3.755817277,1.31573954137895
16-02-2018,HDFCBANK,890.9798948122881,896.158612481423,887.0781038271282,888.4732666015625,1791760,23.10599218398319,-4.205238507,0.2115439317853804
19-02-2018,HDFCBANK,890.3650243096312,892.7297460663934,879.2272194747599,888.2840576171875,1827276,23.497547230107827,-4.524519805,-0.735668815
20-02-2018,HDFCBANK,891.381915838309,891.9021431072669,879.1090323304186,881.18994140625,2042034,18.487444841263283,-5.289019895,-1.646339031
21-02-2018,HDFCBANK,883.4363665816169,883.7201793747269,875.9874931442256,878.4468383789062,1376536,19.231712392982487,-6.046536504,-2.526378526
22-02-2018,HDFCBANK,874.9471113165084,879.6765551614626,870.9507543605098,876.4605102539062,6626798,23.43056220675448,-6.72957955,-3.367018731
23-02-2018,HDFCBANK,878.2104228154549,891.4291950237589,875.1362843732941,889.3955688476562,2038374,40.29727386151436,-6.156180345,-3.924851054
26-02-2018,HDFCBANK,892.9663040215559,905.5939540551732,890.8144416556704,904.056884765625,2394442,53.97470682211939,-4.467216388,-4.033324121
27-02-2018,HDFCBANK,905.5703137782158,908.8809246655104,898.5943836942733,899.8004150390625,2393664,58.721861575865255,-3.432593023,-3.913177901
28-02-2018,HDFCBANK,893.652063720012,896.4423893366892,888.1895331150554,891.1217651367188,2033182,50.8990171963858,-3.275186755,-3.785579672
01-03-2018,HDFCBANK,888.8044272728226,895.4256488226113,883.4601325003623,886.4633178710938,1954920,57.80709237341187,-3.486152717,-3.725694281
02-03-2018,HDFCBANK,888.8044272728226,895.4256488226113,883.4601325003623,886.4633178710938,1954920,49.12879313749836,-3.611711203,-3.702897665
05-03-2018,HDFCBANK,886.3687252630597,888.1895495876589,878.8488980411433,884.38232421875,1890732,47.54396936785725,-3.834929325,-3.729303997
06-03-2018,HDFCBANK,884.4059514773401,889.0881121787132,869.9811485254369,873.1735229492188,2288414,37.98826590668682,-4.86026181,-3.95549556
07-03-2018,HDFCBANK,870.2176343311335,876.5551003885165,864.7787741165639,866.7178344726562,2814082,35.15062699702244,-6.123181079,-4.389032664
